x_value,call,put,acao
2021-09-02 15:44:33,0.82,0.79,26.83
2021-09-02 15:44:36,0.82,0.79,26.82
2021-09-02 15:44:39,0.82,0.79,26.82
2021-09-02 15:44:42,0.82,0.79,26.82
2021-09-02 15:44:45,0.82,0.79,26.82
2021-09-02 15:44:48,0.82,0.79,26.82
2021-09-02 15:44:51,0.82,0.79,26.82
2021-09-02 15:44:54,0.82,0.79,26.83
2021-09-02 15:44:57,0.82,0.79,26.83
2021-09-02 15:45:00,0.82,0.79,26.82
2021-09-02 15:45:03,0.82,0.79,26.83
2021-09-02 15:45:06,0.82,0.79,26.82
2021-09-02 15:45:09,0.82,0.79,26.82
2021-09-02 15:45:12,0.82,0.79,26.82
2021-09-02 15:45:15,0.81,0.79,26.82
2021-09-02 15:45:18,0.81,0.79,26.82
2021-09-02 15:45:21,0.81,0.79,26.82
2021-09-02 15:45:24,0.81,0.79,26.81
2021-09-02 15:45:27,0.81,0.79,26.8
2021-09-02 15:45:30,0.81,0.79,26.8
2021-09-02 15:45:33,0.81,0.79,26.8
2021-09-02 15:45:36,0.81,0.79,26.79
2021-09-02 15:45:39,0.81,0.79,26.79
2021-09-02 15:45:42,0.81,0.79,26.79
2021-09-02 15:45:45,0.81,0.79,26.79
2021-09-02 15:45:48,0.81,0.79,26.79
2021-09-02 15:45:51,0.81,0.79,26.79
2021-09-02 15:45:54,0.81,0.79,26.78
2021-09-02 15:45:57,0.81,0.81,26.79
2021-09-02 15:46:00,0.81,0.81,26.79
2021-09-02 15:46:03,0.81,0.81,26.79
2021-09-02 15:46:06,0.81,0.81,26.79
2021-09-02 15:46:09,0.81,0.81,26.79
2021-09-02 15:46:12,0.81,0.81,26.79
2021-09-02 15:46:15,0.81,0.81,26.79
2021-09-02 15:46:18,0.81,0.81,26.79
2021-09-02 15:46:21,0.81,0.8,26.79
2021-09-02 15:46:24,0.8,0.8,26.81
2021-09-02 15:46:27,0.8,0.8,26.81
2021-09-02 15:46:30,0.8,0.8,26.8
2021-09-02 15:46:33,0.8,0.8,26.8
2021-09-02 15:46:36,0.8,0.8,26.8
2021-09-02 15:46:39,0.79,0.81,26.79
2021-09-02 15:46:42,0.79,0.81,26.78
2021-09-02 15:46:45,0.79,0.81,26.78
2021-09-02 15:46:48,0.79,0.81,26.78
2021-09-02 15:46:51,0.79,0.81,26.78
2021-09-02 15:46:54,0.79,0.81,26.78
2021-09-02 15:46:57,0.79,0.81,26.77
2021-09-02 15:47:00,0.79,0.81,26.77
2021-09-02 15:47:03,0.79,0.81,26.77
2021-09-02 15:47:06,0.79,0.81,26.77
2021-09-02 15:47:09,0.79,0.81,26.77
2021-09-02 15:47:12,0.79,0.81,26.77
2021-09-02 15:47:15,0.79,0.81,26.77
2021-09-02 15:47:18,0.78,0.81,26.76
2021-09-02 15:47:21,0.78,0.82,26.77
2021-09-02 15:47:24,0.78,0.82,26.76
2021-09-02 15:47:27,0.78,0.82,26.77
2021-09-02 15:47:30,0.78,0.82,26.76
2021-09-02 15:47:33,0.78,0.82,26.77
2021-09-02 15:47:36,0.78,0.82,26.77
2021-09-02 15:47:39,0.78,0.82,26.76
2021-09-02 15:47:42,0.78,0.82,26.77
2021-09-02 15:47:45,0.78,0.82,26.76
2021-09-02 15:47:48,0.78,0.82,26.76
2021-09-02 15:47:51,0.78,0.82,26.75
2021-09-02 15:47:54,0.78,0.82,26.76
2021-09-02 15:47:57,0.78,0.82,26.75
2021-09-02 15:48:00,0.78,0.82,26.75
2021-09-02 15:48:03,0.78,0.82,26.75
2021-09-02 15:48:06,0.78,0.82,26.75
2021-09-02 15:48:09,0.78,0.82,26.75
2021-09-02 15:48:12,0.78,0.82,26.75
2021-09-02 15:48:15,0.78,0.82,26.76
2021-09-02 15:48:18,0.78,0.82,26.75
2021-09-02 15:48:22,0.78,0.83,26.75
2021-09-02 15:48:25,0.78,0.83,26.75
2021-09-02 15:48:28,0.78,0.83,26.75
2021-09-02 15:48:31,0.78,0.83,26.75
2021-09-02 15:48:34,0.78,0.83,26.75
2021-09-02 15:48:37,0.78,0.83,26.75
2021-09-02 15:48:40,0.78,0.83,26.76
2021-09-02 15:48:43,0.78,0.83,26.76
2021-09-02 15:48:46,0.78,0.83,26.75
2021-09-02 15:48:49,0.78,0.83,26.76
2021-09-02 15:48:52,0.78,0.83,26.75
2021-09-02 15:48:55,0.78,0.83,26.75
2021-09-02 15:48:58,0.78,0.83,26.76
2021-09-02 15:49:01,0.78,0.83,26.76
2021-09-02 15:49:04,0.78,0.83,26.76
2021-09-02 15:49:07,0.78,0.83,26.75
2021-09-02 15:49:10,0.78,0.83,26.75
2021-09-02 15:49:13,0.78,0.83,26.75
2021-09-02 15:49:16,0.78,0.83,26.75
2021-09-02 15:49:19,0.78,0.83,26.74
2021-09-02 15:49:22,0.78,0.83,26.74
2021-09-02 15:49:25,0.78,0.83,26.74
2021-09-02 15:49:28,0.78,0.83,26.75
2021-09-02 15:49:31,0.78,0.84,26.74
2021-09-02 15:49:34,0.78,0.84,26.74
2021-09-02 15:49:37,0.78,0.84,26.74
2021-09-02 15:49:40,0.78,0.84,26.74
2021-09-02 15:49:43,0.78,0.84,26.75
2021-09-02 15:49:46,0.78,0.84,26.74
2021-09-02 15:49:49,0.78,0.84,26.74
2021-09-02 15:49:52,0.78,0.84,26.74
2021-09-02 15:49:55,0.78,0.84,26.73
2021-09-02 15:49:58,0.78,0.84,26.73
2021-09-02 15:50:01,0.78,0.84,26.74
2021-09-02 15:50:04,0.77,0.84,26.73
2021-09-02 15:50:07,0.77,0.84,26.74
2021-09-02 15:50:10,0.77,0.84,26.73
2021-09-02 15:50:13,0.77,0.84,26.73
2021-09-02 15:50:16,0.77,0.84,26.73
2021-09-02 15:50:19,0.77,0.84,26.72
2021-09-02 15:50:22,0.77,0.84,26.72
2021-09-02 15:50:25,0.77,0.84,26.71
2021-09-02 15:50:28,0.77,0.84,26.71
2021-09-02 15:50:31,0.77,0.84,26.71
2021-09-02 15:50:34,0.76,0.84,26.71
2021-09-02 15:50:37,0.76,0.84,26.71
2021-09-02 15:50:40,0.76,0.84,26.71
2021-09-02 15:50:43,0.76,0.84,26.71
2021-09-02 15:50:46,0.76,0.84,26.71
2021-09-02 15:50:49,0.76,0.84,26.71
2021-09-02 15:50:52,0.76,0.84,26.71
2021-09-02 15:50:55,0.76,0.84,26.71
2021-09-02 15:50:58,0.76,0.84,26.71
